code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
603888,N新华网,互联网,北京,38.61,5190.29,20761.16,189359.63,126243.7,5494.26,23866.25,1.15,0.774,7.51,5.31,20161028
601789,宁波建工,建筑施工,浙江,41.23,97608.0,97608.0,1296924.38,1119214.13,58679.96,51577.1,0.53,0.135,2.44,3.05,20110816
002124,天邦股份,饲料,浙江,18.39,30711.77,63667.98,228077.55,101508.4,67469.56,4534.51,0.07,0.536,2.16,6.1,20070403
000736,中房地产,全国地产,重庆,6555.85,29719.39,29719.39,1037445.38,1015354.63,3967.86,50896.95,1.71,0.001,5.73,3.33,19970425
601801,皖新传媒,出版业,安徽,37.29,182000.0,198920.45,887642.38,684719.5,46729.01,63127.46,0.32,0.24100000000000002,3.24,5.55,20100118
300044,赛为智能,软件服务,深圳,94.3,23441.65,33512.01,143806.86,81757.0,13239.85,16356.27,0.49,0.076,2.25,6.34,20100120
002113,天润数娱,互联网,湖南,288.8,47345.33,75447.97,110942.72,31563.5,206.63,30524.58,0.4,0.044000000000000004,1.23,13.92,20070208
300426,唐德影视,影视音像,浙江,118.62,13025.41,40000.0,202822.81,160249.55,677.01,35012.59,0.88,0.142,2.28,14.74,20150217
603800,道森股份,专用机械,江苏,0.0,5200.0,20800.0,118844.42,82169.71,27505.13,49798.3,2.39,-0.14800000000000002,4.51,7.65,20151210
603669,灵康药业,化学制药,西藏,65.55,8645.0,26000.0,129112.67,89571.36,27981.91,64725.1,2.49,0.282,4.19,8.82,20150528
603777,来伊份,其他商业,上海,118.44,6000.0,24000.0,246923.05,161823.56,51366.69,98918.18,4.12,0.33399999999999996,10.1,5.22,20161012
601500,通用股份,汽车配件,江苏,85.3,17491.91,72691.9,326994.69,136376.38,147169.56,10751.32,0.15,0.115,2.97,6.59,20160919
002722,金轮股份,纺织机械,江苏,91.89,4574.16,17546.65,220530.95,118576.2,29330.81,111009.1,6.33,0.59,9.34,7.48,20140128
002817,黄山胶囊,化学制药,安徽,39.84,2167.0,8667.0,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,4.86,20161025
300549,优德精密,专用机械,江苏,137.06,1667.0,6667.0,61923.8,49988.6,9121.66,24063.86,3.61,0.66,6.27,14.42,20160930
300553,集智股份,电器仪表,浙江,49.59,1200.0,4800.0,19416.78,13806.1,612.56,4179.06,0.87,0.494,4.82,6.77,20161021
300548,博创科技,元器件,浙江,63.51,2067.0,8267.0,60985.95,50723.57,6990.81,22474.92,2.72,0.84,6.52,8.15,20161012
601128,常熟银行,银行,江苏,23.85,22227.27,222272.8,12238343.0,0.0,84182.49,501.27,0.0,0.237,4.28,2.65,20160930
002813,路畅科技,汽车配件,深圳,69.79,3000.0,12000.0,102589.59,54921.82,37151.01,6765.47,0.56,0.223,5.36,5.8,20161012
300546,雄帝科技,元器件,深圳,183.88,1334.0,5334.0,67227.56,62856.9,1003.75,23485.13,4.4,0.81,10.3,14.44,20160928
300545,联得装备,专用机械,深圳,231.18,1783.0,7130.58,55374.18,51998.12,1448.91,22213.5,3.12,0.42,6.31,15.58,20160928
300461,田中精机,专用机械,浙江,516.42,2357.5,6668.0,32782.59,26816.88,2560.41,15238.37,2.29,0.054000000000000006,4.37,12.8,20150519
300555,路通视信,通信设备,江苏,77.19,2000.0,8000.0,49315.65,41005.3,590.85,2844.84,0.36,0.308,4.87,9.76,20161018
603160,汇顶科技,元器件,深圳,48.24,4500.0,44500.0,179051.56,150466.84,14467.15,3422.9,0.08,0.6829999999999999,3.44,19.16,20161017
603025,大豪科技,电脑设备,北京,76.2,5100.0,44700.0,156624.09,126657.07,16699.36,46907.05,1.05,0.36200000000000004,3.23,11.38,20150422
603887,城地股份,建筑施工,上海,81.58,2460.0,9810.0,74930.96,65451.88,6307.37,9337.95,0.95,0.40700000000000003,5.32,12.48,20161010
300552,万集科技,软件服务,北京,40.6,2670.0,10670.0,81115.38,69147.86,9731.45,9206.57,0.86,0.525,5.65,5.03,20161021
300550,和仁科技,软件服务,浙江,86.61,2000.0,8000.0,39601.05,25072.25,440.98,3297.9,0.41,0.223,3.87,10.0,20161018
600926,杭州银行,银行,浙江,13.33,26175.0,261744.92,63414156.0,0.0,142353.0,802203.31,3.06,1.2819999999999998,14.74,1.55,20161027
300551,古鳌科技,专用机械,上海,96.87,1836.0,7336.0,44158.78,37981.0,4911.12,4448.41,0.61,0.19899999999999998,5.22,7.38,20161018
603859,能科股份,软件服务,北京,158.81,2839.0,11356.0,53507.08,45221.7,3890.11,12962.05,1.14,0.055,5.05,3.47,20161021
603258,电魂网络,互联网,浙江,24.77,6000.0,24000.0,86315.21,62596.67,1155.14,1465.79,0.06,0.8240000000000001,3.41,7.98,20161026
603667,五洲新春,机械基件,浙江,37.99,5060.0,20240.0,141303.77,76346.06,43759.8,21430.35,1.06,0.33299999999999996,4.71,3.58,20161025
002816,和科达,专用机械,深圳,61.22,2500.0,10000.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,3.63,20161025
600908,无锡银行,银行,江苏,25.55,18481.15,184811.48,11810595.0,0.0,90977.46,37039.59,0.2,0.256,4.61,2.84,20160923
002679,福建金森,林业,福建,0.0,13868.0,13868.0,161388.22,146697.48,2111.28,34162.59,2.46,-0.045,5.09,8.42,20120605
300465,高伟达,软件服务,北京,1110.4,25569.59,43180.8,92807.78,74618.65,5826.58,38894.46,0.9,0.011000000000000001,1.73,14.08,20150528
603421,鼎信通讯,通信设备,山东,79.59,4340.0,43340.0,203748.47,155399.31,12327.0,53400.91,1.23,0.52,4.22,11.78,20161011
002815,崇达技术,半导体,深圳,65.26,5000.0,41000.0,341480.5,174687.06,123270.11,71448.15,1.74,0.8,4.92,12.39,20161012
000923,河北宣工,工程机械,河北,0.0,19800.0,19800.0,137658.19,75645.7,42279.73,16355.75,0.83,-0.046,2.07,9.92,19990714
002520,日发精机,机床制造,浙江,160.51,46889.32,55408.89,234021.47,180234.25,35308.03,96788.9,1.75,0.048,3.01,5.14,20101210
603006,联明股份,汽车配件,上海,46.77,6888.0,19291.75,109093.57,53058.23,35744.1,16140.9,0.84,0.5,4.1,7.38,20140630
300403,地尔汉宇,电气设备,广东,44.04,5882.0,13400.0,139057.31,94698.71,19177.46,64369.76,4.8,0.7909999999999999,9.37,7.44,20141030
300462,华铭智能,专用机械,上海,93.26,5498.64,13776.0,69411.18,65508.68,1513.45,19802.05,1.44,0.196,3.85,9.49,20150527
603843,正平股份,建筑施工,青海,188.01,9970.0,40000.3,295740.75,250092.38,14109.87,1976.23,0.05,0.059000000000000004,2.4,9.18,20160905
603918,金桥信息,软件服务,上海,9335.55,12334.4,17600.0,65006.85,55849.76,6715.62,12150.44,0.69,0.002,2.57,15.38,20150528
002623,亚玛顿,玻璃,江苏,103.99,15943.15,16000.0,342739.03,145677.56,84224.45,148672.02,9.29,0.188,13.64,2.86,20111013
002141,蓉胜超微,元器件,广东,1133.37,63660.8,113465.64,141117.98,119351.17,17146.0,90383.31,0.8,0.006,1.15,7.98,20070720
600829,人民同泰,医药商业,黑龙江,36.37,57988.85,57988.85,430695.06,375318.19,38452.35,0.0,0.0,0.335,2.79,5.82,19940224
002568,百润股份,红黄药酒,上海,0.0,37744.51,89600.0,202405.31,88560.56,64091.53,0.0,0.0,-0.11699999999999999,1.0,23.74,20110325
300257,开山股份,机械基件,浙江,139.62,81868.27,85800.0,515036.0,325736.56,86858.8,150788.16,1.76,0.08800000000000001,3.96,4.13,20110819
002264,新 华 都,超市连锁,福建,26.87,53782.64,68456.39,376598.41,193035.47,35739.93,114351.97,1.67,0.32,2.71,4.09,20080731
600306,*ST商城,百货,辽宁,0.0,17740.57,17813.89,209267.88,46414.48,117560.3,20389.11,1.14,-0.439,-0.68,-20.6,20001226
000505,*ST珠江,房产服务,海南,0.0,36044.53,42674.53,179019.52,121674.4,39192.39,33469.07,0.78,-0.111,-0.62,-16.67,19921221
002583,海能达,通信设备,深圳,345.67,84086.68,172841.42,493037.81,304847.81,103123.38,7475.61,0.04,0.018000000000000002,1.48,8.48,20110527
300021,大禹节水,农业综合,甘肃,225.84,16558.88,31894.42,217007.02,170689.73,28035.22,71030.15,2.23,0.066,3.98,4.98,20091030
300428,四通新材,铝,河北,115.93,6240.0,24240.0,63939.41,43761.73,14171.98,29340.1,1.21,0.141,2.42,13.54,20150319
000038,深大通,广告包装,深圳,98.2,3773.13,32673.58,653405.25,412716.5,6742.93,447563.34,13.7,0.5,14.96,3.54,19940808
603393,新天然气,供气供热,新疆,62.64,4000.0,16000.0,91483.15,24587.98,57946.41,18829.92,1.18,0.499,5.35,11.68,20160912
002382,蓝帆医疗,医疗保健,山东,31.93,48082.94,49435.5,154799.31,86186.61,49916.3,34985.5,0.71,0.2,2.45,5.22,20100402
002668,奥马电器,家用电器,广东,36.29,12054.54,16535.0,456988.41,277112.47,110397.27,46532.65,2.81,1.033,11.46,6.54,20120416
600219,南山铝业,铝,山东,36.39,708796.06,708796.06,3473421.5,1024543.69,1516839.38,1002098.63,1.41,0.16,3.38,0.94,19991223
600232,金鹰股份,纺织,浙江,192.63,36471.85,36471.85,166159.13,125600.57,31498.98,39735.3,1.09,0.051,3.2,4.11,20000602
300393,中来股份,塑料,江苏,47.48,7691.04,17923.5,273966.94,174572.73,27239.7,33471.5,1.87,0.693,5.15,8.52,20140912
601689,拓普集团,汽车配件,浙江,37.27,17070.0,64910.0,453750.81,262234.34,121501.42,145489.84,2.24,0.414,5.28,5.85,20150319
600084,中葡股份,红黄药酒,新疆,0.0,99820.38,112372.67,353518.19,283723.56,22612.9,270840.09,2.41,-0.042,2.14,5.15,19970711
000601,韶能股份,水力发电,广东,14.83,107980.84,108055.15,887200.19,146820.38,675328.31,158531.94,1.47,0.34600000000000003,3.85,2.66,19960830
600740,山西焦化,焦炭加工,山西,0.0,65683.27,76570.0,1070392.88,473383.94,391640.25,225612.02,2.95,-0.04,2.57,3.73,19960808
600113,浙江东日,区域地产,浙江,64.8,31860.0,31860.0,91209.78,12519.78,18382.4,0.0,0.0,0.162,1.65,12.7,19971021
600393,粤泰股份,全国地产,广东,106.26,29950.5,126812.39,1064187.38,935735.13,13940.97,342373.09,2.7,0.08,4.05,3.03,20010319
300242,明家联合,互联网,广东,49.67,27704.41,63748.1,267517.09,93803.56,981.67,159603.77,2.5,0.17800000000000002,3.26,5.42,20110712
300280,南通锻压,专用机械,江苏,746.44,12800.0,12800.0,84406.0,48428.19,22396.46,42202.78,3.3,0.034,4.96,6.82,20111229
601163,三角轮胎,汽车配件,山东,42.84,20000.0,80000.0,1293389.63,761960.31,387679.5,412397.31,5.15,0.92,9.48,4.27,20160909
600149,廊坊发展,综合类,河北,0.0,38016.0,38016.0,21859.71,4967.85,2795.65,10597.37,0.28,-0.04,0.51,57.37,19991014
002807,江阴银行,银行,江苏,32.1,20944.55,176735.44,9550878.0,0.0,53890.0,0.0,0.0,0.205,4.85,2.71,20160902
300547,川环科技,橡胶,四川,88.22,1495.0,5977.91,52754.48,37607.68,11992.28,3170.0,0.53,0.605,7.12,15.0,20160930
002620,瑞和股份,装修装饰,深圳,73.86,9375.19,14500.0,324235.41,237098.3,14400.4,136431.75,9.41,0.59,13.65,3.75,20110929
002332,仙琚制药,生物制药,浙江,72.79,46811.0,61080.8,350282.13,204311.0,92137.0,118396.8,1.94,0.096,3.5,4.01,20100112
300062,中能电气,电气设备,福建,80.31,8267.17,15400.0,269330.75,203664.67,25550.97,36077.14,2.34,0.19,5.18,5.9,20100319
300298,三诺生物,医疗保健,湖南,69.3,25065.89,33835.53,131157.36,73989.34,23638.57,41472.06,1.23,0.17,3.52,6.1,20120319
000673,当代东方,影视音像,山西,58.23,41467.71,79333.5,324120.91,212186.8,3008.26,145885.27,1.84,0.171,2.86,4.65,19970124
002591,恒大高新,机械基件,江西,0.0,16747.08,26050.69,92502.25,52465.08,20433.6,32301.21,1.24,-0.044000000000000004,2.63,5.98,20110621
002622,永大集团,电气设备,吉林,290.54,72355.2,84000.0,129372.1,52633.93,27671.35,62.08,0.0,0.033,1.41,9.13,20111018
002126,银轮股份,汽车配件,浙江,27.59,60935.89,72108.0,454839.94,217171.92,97543.07,45238.96,0.63,0.16399999999999998,2.97,3.05,20070418
000830,鲁西化工,农药化肥,山东,31.77,146397.88,146486.06,2345997.25,303100.59,1485322.0,221020.92,1.51,0.06,5.77,0.9,19980807
002147,新光圆成,机械基件,安徽,0.0,22421.3,140621.27,1371681.88,830125.25,61322.26,311424.38,2.21,-0.026000000000000002,4.14,3.61,20070808
000980,金马股份,汽车配件,安徽,116.18,52814.0,52814.0,323608.53,251756.2,46356.3,126699.97,2.4,0.084,4.0,3.25,20000616
002393,力生制药,化学制药,天津,70.17,18189.16,18245.5,338826.94,134808.25,70553.75,169156.41,9.27,0.433,16.32,2.48,20100423
002048,宁波华翔,汽车配件,浙江,20.44,46056.07,53004.71,1029937.19,577939.25,192027.86,65784.28,1.24,0.5870000000000001,8.45,2.84,20050603
